player,cluster,cluster_name
9,2,Jugadors de Rol
51,2,Jugadors de Rol
69,1,Jugadors de Rol
34,2,Jugadors de Rol
94,1,Jugadors de Rol
38,1,Jugadors de Rol
22,2,Jugadors de Rol
75,1,Jugadors de Rol
44,2,Jugadors de Rol
98,1,Jugadors de Rol
27,2,Jugadors de Rol
15,2,Jugadors de Rol
53,2,Jugadors de Rol
50,2,Jugadors de Rol
61,1,Jugadors de Rol
33,2,Jugadors de Rol
25,2,Jugadors de Rol
37,2,Jugadors de Rol
74,1,Jugadors de Rol
17,2,Jugadors de Rol
86,2,Jugadors de Rol
91,2,Jugadors de Rol
78,2,Jugadors de Rol
40,2,Jugadors de Rol
81,1,Jugadors de Rol
2,2,Jugadors de Rol
20,2,Jugadors de Rol
11,2,Jugadors de Rol
10,2,Jugadors de Rol
96,0,Organitzadors de Joc
32,2,Jugadors de Rol
60,2,Jugadors de Rol
7,2,Jugadors de Rol
55,2,Jugadors de Rol
83,2,Jugadors de Rol
70,2,Jugadors de Rol
5,2,Jugadors de Rol
85,2,Jugadors de Rol
73,2,Jugadors de Rol
72,1,Jugadors de Rol
24,2,Jugadors de Rol
45,2,Jugadors de Rol
12,2,Jugadors de Rol
4,2,Jugadors de Rol
54,1,Jugadors de Rol
23,2,Jugadors de Rol
63,1,Jugadors de Rol
48,2,Jugadors de Rol
65,1,Jugadors de Rol
68,2,Jugadors de Rol
39,2,Jugadors de Rol
58,2,Jugadors de Rol
26,1,Jugadors de Rol
35,2,Jugadors de Rol
6,2,Jugadors de Rol
56,2,Jugadors de Rol
64,0,Organitzadors de Joc
95,2,Jugadors de Rol
49,1,Jugadors de Rol
19,2,Jugadors de Rol
36,2,Jugadors de Rol
82,0,Organitzadors de Joc
88,0,Organitzadors de Joc
43,2,Jugadors de Rol
92,1,Jugadors de Rol
46,1,Jugadors de Rol
42,2,Jugadors de Rol
52,1,Jugadors de Rol
99,2,Jugadors de Rol
0,2,Jugadors de Rol
77,2,Jugadors de Rol
90,1,Jugadors de Rol
59,1,Jugadors de Rol
67,1,Jugadors de Rol
3,2,Jugadors de Rol
21,2,Jugadors de Rol
16,2,Jugadors de Rol
30,2,Jugadors de Rol
13,2,Jugadors de Rol
41,2,Jugadors de Rol
31,2,Jugadors de Rol
0,2,Jugadors de Rol
28,2,Jugadors de Rol
79,1,Jugadors de Rol
29,2,Jugadors de Rol
97,2,Jugadors de Rol
18,2,Jugadors de Rol
57,2,Jugadors de Rol
1,2,Jugadors de Rol
8,2,Jugadors de Rol
71,1,Jugadors de Rol
93,0,Organitzadors de Joc
76,2,Jugadors de Rol
80,1,Jugadors de Rol
47,2,Jugadors de Rol
66,2,Jugadors de Rol
84,1,Jugadors de Rol
14,2,Jugadors de Rol
